compound_ID,fp2_0,fp2_1,fp2_2,fp2_3,fp2_4,fp2_5,fp2_6,fp2_7,fp2_8,fp2_9,fp2_10,fp2_11,fp2_12,fp2_13,fp2_14,fp2_15,fp2_16,fp2_17,fp2_18,fp2_19,fp2_20,fp2_21,fp2_22,fp2_23,fp2_24,fp2_25,fp2_26,fp2_27,fp2_28,fp2_29,fp2_30,fp2_31,fp2_32,fp2_33,fp2_34,fp2_35,fp2_36,fp2_37,fp2_38,fp2_39,fp2_40,fp2_41,fp2_42,fp2_43,fp2_44,fp2_45,fp2_46,fp2_47,fp2_48,fp2_49,fp2_50,fp2_51,fp2_52,fp2_53,fp2_54,fp2_55,fp2_56,fp2_57,fp2_58,fp2_59,fp2_60,fp2_61,fp2_62,fp2_63,fp2_64,fp2_65,fp2_66,fp2_67,fp2_68,fp2_69,fp2_70,fp2_71,fp2_72,fp2_73,fp2_74,fp2_75,fp2_76,fp2_77,fp2_78,fp2_79,fp2_80,fp2_81,fp2_82,fp2_83,fp2_84,fp2_85,fp2_86,fp2_87,fp2_88,fp2_89,fp2_90,fp2_91,fp2_92,fp2_93,fp2_94,fp2_95,fp2_96,fp2_97,fp2_98,fp2_99,fp2_100,fp2_101,fp2_102,fp2_103,fp2_104,fp2_105,fp2_106,fp2_107,fp2_108,fp2_109,fp2_110,fp2_111,fp2_112,fp2_113,fp2_114,fp2_115,fp2_116,fp2_117,fp2_118,fp2_119,fp2_120,fp2_121,fp2_122,fp2_123,fp2_124,fp2_125,fp2_126,fp2_127,fp2_128,fp2_129,fp2_130,fp2_131,fp2_132,fp2_133,fp2_134,fp2_135,fp2_136,fp2_137,fp2_138,fp2_139,fp2_140,fp2_141,fp2_142,fp2_143,fp2_144,fp2_145,fp2_146,fp2_147,fp2_148,fp2_149,fp2_150,fp2_151,fp2_152,fp2_153,fp2_154,fp2_155,fp2_156,fp2_157,fp2_158,fp2_159,fp2_160,fp2_161,fp2_162,fp2_163,fp2_164,fp2_165,fp2_166,fp2_167,fp2_168,fp2_169,fp2_170,fp2_171,fp2_172,fp2_173,fp2_174,fp2_175,fp2_176,fp2_177,fp2_178,fp2_179,fp2_180,fp2_181,fp2_182,fp2_183,fp2_184,fp2_185,fp2_186,fp2_187,fp2_188,fp2_189,fp2_190,fp2_191,fp2_192,fp2_193,fp2_194,fp2_195,fp2_196,fp2_197,fp2_198,fp2_199,fp2_200,fp2_201,fp2_202,fp2_203,fp2_204,fp2_205,fp2_206,fp2_207,fp2_208,fp2_209,fp2_210,fp2_211,fp2_212,fp2_213,fp2_214,fp2_215,fp2_216,fp2_217,fp2_218,fp2_219,fp2_220,fp2_221,fp2_222,fp2_223,fp2_224,fp2_225,fp2_226,fp2_227,fp2_228,fp2_229,fp2_230,fp2_231,fp2_232,fp2_233,fp2_234,fp2_235,fp2_236,fp2_237,fp2_238,fp2_239,fp2_240,fp2_241,fp2_242,fp2_243,fp2_244,fp2_245,fp2_246,fp2_247,fp2_248,fp2_249,fp2_250,fp2_251,fp2_252,fp2_253,fp2_254,fp2_255
D02163,2,0,0,2,0,1,0,0,0,0,10,0,1,0,0,4,1,0,0,0,0,6,0,1,0,0,8,2,4,0,0,8,8,0,0,0,0,0,9,0,1,0,0,0,6,0,0,2,0,0,1,1,0,0,8,0,0,0,5,0,0,4,0,0,1,9,0,0,4,8,0,2,2,1,0,0,8,0,2,2,0,0,0,10,2,0,3,8,0,0,0,0,1,0,14,1,1,0,0,2,0,0,0,2,1,2,0,0,2,1,0,8,0,0,0,0,0,0,2,2,0,0,1,0,0,4,1,4,0,10,0,0,0,8,0,0,4,0,0,0,1,2,2,0,0,0,2,0,0,1,0,1,0,2,8,0,0,0,0,0,0,4,8,0,0,0,6,0,0,4,4,0,2,0,0,0,7,0,0,9,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,4,2,0,0,0,0,6,1,1,0,4,0,0,0,1,1,2,4,0,0,0,1,6,8,0,0,0,0,2,4,0,0,0,0,0
D02101,4,0,10,15,0,1,0,0,0,0,0,0,0,2,2,4,0,10,12,12,0,7,0,0,0,2,0,3,0,0,0,4,0,0,0,0,8,1,9,0,0,0,4,2,5,2,0,4,0,1,2,4,0,0,12,0,0,0,1,0,2,0,0,0,1,0,0,4,5,4,8,9,4,0,14,0,0,0,0,5,1,0,0,0,2,0,1,12,0,0,0,1,0,0,0,0,0,1,10,2,0,2,0,0,1,0,2,0,4,9,0,4,6,0,8,0,0,0,2,2,2,0,0,2,8,0,0,8,1,8,10,0,0,12,0,2,2,5,0,4,2,4,1,1,8,0,0,0,10,2,2,1,0,2,4,0,8,2,0,0,4,0,8,0,8,1,5,1,0,0,0,3,3,0,0,8,12,10,1,8,1,8,0,0,9,0,0,8,0,0,0,0,4,3,0,6,0,0,3,8,0,0,1,0,0,12,0,2,0,2,0,0,0,0,12,2,6,1,1,0,1,8,0,0,0,0,0,7,3,1,8,0,0,10,0,13,1,0,2,0,0,8,0,2,0,0,12,11,0,0,1,0,0,0,0,4
D02098,0,0,0,2,0,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,6,0,0,0,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,2,0,0,0,8,0,0,0,0,4,0,4,0,0,1,4,0,0,4,0,0,0,0,0,0,0,0,0,3,3,2,0,0,10,0,2,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,2,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,0,8,6,0,0,8,1,2,4,9,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,8,0,8,0,0,0,0,0,8,0,0,0,4,0,0,4,1,0,2,4,0,0,4,0,0,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,4,0,0,0,0,2,9,0,1,0,0,0,8,0,0,0,0,6,0,1,8,0,0,9,0,3,0,0,2,0,0,8,0,8,0,0,0,0,0,2,0,0,0,0,0,4
D02092,4,0,2,10,0,2,0,0,0,0,0,0,0,4,10,4,1,1,8,8,0,6,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,10,9,0,0,0,0,0,0,4,0,0,12,0,0,1,2,0,0,0,0,0,1,12,0,0,5,0,0,0,8,0,1,0,0,0,3,3,0,0,8,7,0,10,1,8,0,0,0,0,0,0,4,0,0,1,0,6,4,2,0,0,0,0,0,0,12,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,2,0,1,0,0,8,2,0,0,8,0,0,4,1,1,4,0,8,8,1,0,0,1,0,0,0,0,8,0,6,8,8,8,0,0,2,0,0,8,8,0,1,5,0,0,4,0,0,2,0,0,8,14,8,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,2,2,0,0,0,0,0,0,0,6,1,0,0,1,0,2,0,2,8,0,1,0,1,0,0,0,0,0,0,7,0,1,8,2,0,8,0,1,1,0,2,0,0,8,5,12,0,0,8,9,0,10,8,0,0,0,0,4
D02088,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,8,0,0,0,0,8,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,6,0,0,3,8,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,2,4,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,11,0,0,0,4,0,0,4,0,0,2,8,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,6,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0
D02087,2,0,0,2,0,3,0,0,0,0,10,0,0,0,0,0,1,1,0,0,0,6,8,1,0,0,8,2,8,0,0,0,8,1,0,0,8,0,0,8,1,0,0,4,2,0,0,2,0,2,0,1,1,0,0,0,0,0,5,4,0,8,0,0,1,9,0,0,0,8,0,0,0,2,2,0,8,0,3,2,1,0,0,14,0,0,1,8,0,0,0,0,1,0,14,0,0,0,0,2,4,0,0,2,1,2,0,8,2,0,0,8,0,0,0,0,8,0,2,0,0,0,9,0,0,6,1,4,0,10,0,1,1,8,0,0,4,8,1,0,0,10,2,0,0,0,0,0,1,0,0,0,0,2,8,0,0,0,0,8,1,0,9,0,0,0,6,0,0,4,4,0,2,8,0,0,6,0,0,9,0,0,0,0,0,4,2,2,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,8,0,8,0,0,4,2,8,0,0,0,6,1,0,8,8,0,0,0,0,1,2,0,0,0,0,2,6,12,0,0,0,0,2,4,0,0,0,0,0
D02086,0,0,0,2,0,2,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,8,0,0,0,0,8,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,2,0,0,2,0,0,0,2,0,0,0,0,6,0,0,2,8,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,2,4,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,2,8,0,0,0,0,2,0,0,10,0,0,0,4,0,0,4,0,0,2,8,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0
D02041,2,0,2,2,0,2,0,2,0,0,0,2,0,6,12,0,0,6,0,0,0,6,0,0,0,0,0,2,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,8,0,8,0,0,2,0,0,0,8,0,0,1,0,4,0,4,0,0,1,12,0,0,5,0,8,0,8,0,0,0,8,0,2,1,3,8,8,10,0,2,1,8,2,0,0,0,0,0,12,0,0,1,0,2,0,0,0,0,0,0,2,0,14,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,10,2,0,0,0,12,1,0,0,12,0,2,4,0,0,0,0,0,0,0,0,0,0,0,12,9,0,0,0,2,8,8,0,0,0,0,0,0,8,0,0,1,5,0,0,4,0,0,2,0,0,0,12,0,0,8,0,0,0,0,0,0,0,1,4,0,1,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,1,0,1,0,0,12,0,0,1,0,0,7,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,8,8,0,0,1,0,2,0,0,0,0,0,0
D01969,8,0,2,6,0,2,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,6,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,8,1,0,0,0,4,8,0,0,0,1,0,0,0,2,0,3,8,0,0,0,1,0,0,0,0,0,1,0,10,0,2,0,0,0,0,2,0,0,8,0,0,0,4,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,12,8,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,2,4,0,0,0,0,0,0,0,8,0,0,1,4,0,0,0,0,0,3,0,0,8,12,0,0,8,0,8,0,0,8,0,0,8,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,4,2,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,10,0,1,1,0,2,0,0,8,0,0,0,0,4,3,0,1,0,0,0,0,0,0
D01854,0,0,2,14,13,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,1,8,0,0,5,0,0,0,4,0,0,0,0,0,0,1,1,0,0,14,0,4,1,8,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,8,2,0,4,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,8,0,0,0,0,4,0,0,9,0,0,1,4,0,0,0,0,0,3,0,0,8,12,0,0,8,0,8,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,1,0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7,0,0
D01828,0,0,0,4,0,0,8,0,0,0,0,0,1,4,12,0,0,2,0,0,8,6,0,1,0,8,2,0,4,0,0,0,0,0,0,0,1,4,1,8,9,0,0,0,0,0,8,8,0,5,0,0,0,0,8,0,5,0,0,0,0,4,0,8,1,12,0,0,7,8,8,0,0,0,4,8,10,0,2,0,6,8,8,10,0,6,0,14,0,0,0,0,0,0,12,8,0,0,0,0,6,0,0,0,8,0,0,0,2,0,0,4,0,4,4,0,0,0,4,2,0,0,0,0,0,0,0,0,0,12,0,0,0,12,0,0,5,0,0,0,0,2,0,0,8,8,0,0,6,0,0,1,0,0,8,12,0,0,4,0,0,2,11,0,0,0,4,0,2,4,0,0,0,0,0,8,5,0,0,8,0,8,4,0,2,0,4,1,0,8,0,2,0,0,0,2,0,0,4,0,0,0,0,4,0,0,0,0,6,0,4,0,0,1,8,0,0,0,1,6,0,4,0,0,1,0,0,2,0,1,0,0,0,0,4,1,0,8,0,0,0,0,0,8,10,4,0,0,0,2,0,0,0,0,0,0
D01799,6,8,8,2,0,3,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,14,2,0,0,0,0,4,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,4,0,1,8,0,0,4,0,0,8,0,0,4,0,0,0,4,0,0,0,0,5,0,1,1,8,0,0,2,0,0,0,8,0,0,1,6,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,4,1,0,0,2,0,0,0,0,6,8,0,0,1,0,2,0,0,8,8,0,0,14,0,0,8,2,0,7,0,0,0,12,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,11,0,0,2,0,0,0,0,1,0,0,1,0,0,0,2,8,0,0,0,1,12,8,0,0,0,0,0
D01768,0,0,0,2,0,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,8,0,0,0,0,4,0,0,0,0,1,4,0,0,4,0,0,0,0,0,0,0,0,0,3,3,2,0,0,10,0,2,0,8,0,0,0,0,0,0,4,0,0,1,0,2,0,2,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,0,8,6,0,0,8,2,2,4,13,5,0,0,0,1,1,8,0,0,0,0,1,0,0,0,2,8,0,8,0,0,0,0,0,8,0,0,0,4,0,0,4,1,0,2,4,0,0,4,8,0,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,2,9,0,1,0,0,0,8,0,0,0,0,7,0,9,8,0,0,8,0,3,0,0,2,0,0,8,0,8,0,0,4,8,0,2,0,0,0,0,0,4
D01712,8,0,0,10,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,4,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,12,0,0,0,0,0,0,4,0,0,0,4,0,0,3,0,0,0,4,1,0,0,8,0,2,1,4,0,0,10,0,0,1,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,12,0,0,0,12,0,0,8,0,0,0,2,8,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,8,0,0,0,0,12,10,0,0,0,0,0,8,0,0,0,0,1,4,0,0,6,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,12,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,6,0,1,0,2,0,0,0,0,0,8,0,0,0,0,1,8,8,0,0,0,2,10,0,0,0,0,0,0
D01603,2,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,8,0,0,8,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,4,0,1,0,2,0,2,0,1,0,4,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D01599,6,8,10,2,0,1,0,0,0,0,0,0,0,2,4,0,0,2,0,0,0,14,2,1,0,0,0,4,0,0,0,1,2,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,4,0,1,8,0,0,5,0,0,8,0,0,4,0,0,0,4,0,1,0,0,4,0,1,1,8,0,0,2,0,0,0,8,0,0,1,6,2,0,0,0,0,0,0,2,0,4,0,0,4,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,2,0,10,0,4,1,0,0,2,0,0,0,0,2,8,0,0,1,0,0,0,0,8,0,0,1,14,0,0,8,2,0,7,0,0,0,12,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,14,11,1,0,2,0,0,0,1,1,0,0,1,0,0,1,0,8,0,0,1,1,12,0,0,0,0,0,0
D01575,4,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,4,0,0,1,0,0,0,5,0,8,0,0,0,0,0,8,0,2,0,1,8,8,0,0,0,1,8,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,2,12,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,1,4,0,0,4,0,0,0,0,0,0,12,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,6,0,1,1,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
D01453,8,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,4,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,12,0,0,0,0,0,0,4,0,0,0,4,0,0,3,0,0,0,4,1,0,0,8,0,2,1,4,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,8,0,0,0,0,12,0,0,0,12,0,0,8,0,0,0,2,8,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0,0,0,0,12,10,0,0,0,0,0,8,0,0,0,0,1,4,0,0,6,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,12,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,7,0,1,0,2,0,0,0,0,0,8,0,0,0,0,1,8,8,0,0,0,2,10,0,0,0,0,0,0
D01450,0,0,2,2,0,2,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,8,0,0,0,0,8,8,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,2,0,0,5,0,0,2,0,1,2,0,0,0,2,0,1,0,0,6,0,0,3,8,0,0,0,0,1,0,4,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,2,4,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,2,8,0,0,0,2,0,1,0,0,0,0,10,8,0,0,0,0,6,0,0,11,0,0,1,5,0,0,4,0,0,2,8,0,0,12,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,6,0,1,0,4,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0,0,1,0,0
D01448,2,0,0,2,0,1,0,0,0,0,10,0,1,0,0,4,1,0,0,0,0,6,0,1,0,0,8,2,4,0,0,8,8,0,0,0,0,0,9,0,1,0,0,0,6,0,0,2,0,0,1,1,0,0,8,0,0,0,5,0,0,4,0,0,1,9,0,0,4,8,0,2,2,1,0,0,8,0,2,0,0,0,0,10,2,0,3,8,0,0,0,0,1,0,14,1,1,0,0,2,0,0,0,2,1,2,0,0,2,1,0,8,0,0,0,0,0,0,2,2,0,0,1,0,0,4,0,4,0,10,0,0,0,8,0,0,4,0,0,0,0,2,2,0,0,0,2,0,0,1,0,1,0,2,8,0,0,0,0,0,0,4,8,0,0,0,6,0,0,4,4,0,2,0,0,0,7,0,0,9,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,6,1,1,0,4,0,0,0,1,1,2,4,0,0,0,1,6,8,0,0,0,0,2,4,0,0,0,0,0
D01350,2,0,0,10,0,1,0,0,0,0,0,0,11,8,8,0,1,1,0,0,0,4,0,0,1,2,0,2,0,0,0,0,2,0,0,0,0,0,3,4,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,1,0,1,0,0,0,1,0,0,8,8,0,0,0,0,0,1,7,3,0,2,2,0,1,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,12,0,1,3,0,0,0,1,0,0,0,0,4,0,0,0,8,0,2,0,0,8,9,0,3,11,0,0,0,8,1,0,0,8,0,0,0,2,0,0,8,0,0,3,0,0,9,2,0,0,1,4,0,0,13,0,0,1,4,0,0,0,2,0,2,0,0,0,10,2,0,1,0,0,0,1,0,0,2,2,2,0,0,0,4,0,2,8,0,0,0,8,0,0,3,8,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,3,12,8,0,0,0,0,13,14,1,8,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,4,0,0
D01295,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,4,0,2,0,0,0,6,0,0,8,0,0,1,4,0,0,8,0,0,0,0,0,1,12,0,0,0,2,0,4,8,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,8,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,8,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,2,0,0,8,4,0,0,8,4,9,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,3,8,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,4,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
D01287,0,0,2,2,0,2,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,8,0,0,0,0,8,8,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,2,0,0,5,0,0,2,0,1,2,0,0,0,2,0,1,0,0,6,0,0,3,8,0,0,0,0,1,0,4,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,2,4,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,2,8,0,0,0,2,0,1,0,0,0,0,10,8,0,0,0,0,6,0,0,11,0,0,1,5,0,0,4,0,0,2,8,0,0,12,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,6,0,1,0,4,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0,0,1,0,0
D01275,0,0,0,4,4,2,0,2,0,4,0,0,14,0,12,2,0,2,4,8,0,7,0,0,8,3,0,3,0,0,0,2,2,4,0,0,8,0,6,4,0,0,0,8,0,8,0,0,0,1,2,2,0,0,14,0,0,0,0,12,0,0,0,0,1,4,0,4,4,2,0,10,6,8,4,0,0,0,0,7,6,0,0,2,0,2,11,8,2,0,1,5,1,0,0,0,0,1,0,2,0,2,4,0,0,8,10,0,13,8,1,1,0,0,0,1,0,0,0,2,0,0,0,10,10,0,0,8,0,8,11,0,2,8,2,10,2,1,4,0,0,4,0,1,0,0,0,0,10,9,2,2,0,2,8,0,0,0,0,4,4,0,13,11,0,0,4,0,0,0,0,0,1,0,2,12,14,8,0,10,0,8,0,1,0,0,0,9,2,0,0,0,0,1,0,10,0,0,0,9,4,0,3,12,1,0,1,7,0,2,12,4,0,2,4,0,5,1,1,0,2,8,8,8,0,0,0,7,0,5,4,0,0,10,0,5,0,0,2,0,0,8,0,8,0,0,4,11,4,0,0,0,0,5,0,0
